"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test entering invalid OTP code","505","test_03_enter_invalid_otp_code","tests","Fri Sep 19 14:42:55 IST 2025","passed","Fri Sep 19 14:42:55 IST 2025","TestOTPOptimized","test_otp","",""
"Test clicking portfolio card for navigation","507","test_03_click_portfolio_card_navigation","tests","Fri Sep 19 14:42:26 IST 2025","passed","Fri Sep 19 14:42:26 IST 2025","TestHomeOptimized","test_home","",""
"Test complete end-to-end portfolio creation workflow","306","test_09_complete_end_to_end_portfolio_creation_workflow","tests","Fri Sep 19 14:43:13 IST 2025","passed","Fri Sep 19 14:43:13 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test searching for dealerships on valuations page","304","test_02_search_for_dealerships_on_valuations_page","tests","Fri Sep 19 14:43:27 IST 2025","passed","Fri Sep 19 14:43:27 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test that all required login page elements are present","502","test_06_validate_all_login_page_elements_present","tests","Fri Sep 19 14:42:40 IST 2025","passed","Fri Sep 19 14:42:41 IST 2025","TestLoginOptimized","test_login","",""
"Test 18: Comprehensive portfolio values validation","203","test_18_validate_all_portfolio_values_comprehensive","tests","Fri Sep 19 14:43:15 IST 2025","passed","Fri Sep 19 14:43:15 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test analyzing 3 year revenue trends on financials page","306","test_17_analyze_3_year_revenue_trends_financials_page","tests","Fri Sep 19 14:43:32 IST 2025","passed","Fri Sep 19 14:43:32 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test validating all portfolio URLs navigation flow","304","test_10_validate_all_portfolio_urls_navigation_flow","tests","Fri Sep 19 14:43:13 IST 2025","passed","Fri Sep 19 14:43:13 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test OTP session expiry handling","510","test_11_otp_session_expiry_handling","tests","Fri Sep 19 14:43:01 IST 2025","passed","Fri Sep 19 14:43:01 IST 2025","TestOTPOptimized","test_otp","",""
"Test login attempt with invalid email format","511","test_02_attempt_login_with_invalid_email","tests","Fri Sep 19 14:42:38 IST 2025","passed","Fri Sep 19 14:42:39 IST 2025","TestLoginOptimized","test_login","",""
"Test navigating to real estate tab and validating calculations","306","test_15_navigate_to_real_estate_tab_validate_calculations","tests","Fri Sep 19 14:43:31 IST 2025","passed","Fri Sep 19 14:43:32 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test 23: Extract and analyze tooltip content","205","test_23_extract_and_analyze_tooltip_content","tests","Fri Sep 19 14:43:16 IST 2025","passed","Fri Sep 19 14:43:16 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test validating click tabs for group rooftop single brand","305","test_06_validate_click_tabs_group_rooftop_single_brand","tests","Fri Sep 19 14:43:12 IST 2025","passed","Fri Sep 19 14:43:12 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test creating valuation and accessing financials tab","306","test_07_create_valuation_access_financials_tab","tests","Fri Sep 19 14:43:29 IST 2025","passed","Fri Sep 19 14:43:29 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test login attempt with empty password field","644","test_04_attempt_login_with_empty_password","tests","Fri Sep 19 14:42:39 IST 2025","passed","Fri Sep 19 14:42:40 IST 2025","TestLoginOptimized","test_login","",""
"Test OTP timeout handling","2000","test_06_otp_timeout_handling","tests","Fri Sep 19 14:42:56 IST 2025","passed","Fri Sep 19 14:42:58 IST 2025","TestOTPOptimized","test_otp","",""
"Test 13: New sales MO calculation validation","205","test_13_validate_new_sales_mo_calculation_specific","tests","Fri Sep 19 14:43:14 IST 2025","passed","Fri Sep 19 14:43:14 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test demonstrating expense calculation formula","306","test_09_demonstrate_expense_calculation_formula","tests","Fri Sep 19 14:43:29 IST 2025","passed","Fri Sep 19 14:43:30 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test login attempt without accepting terms and conditions","516","test_05_attempt_login_without_accepting_terms","tests","Fri Sep 19 14:42:40 IST 2025","passed","Fri Sep 19 14:42:40 IST 2025","TestLoginOptimized","test_login","",""
"Test clicking view portfolio button to access details","306","test_08_click_view_portfolio_button_access_details","tests","Fri Sep 19 14:43:12 IST 2025","passed","Fri Sep 19 14:43:13 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test search filters with multiple terms","305","test_03_test_search_filters_with_multiple_terms","tests","Fri Sep 19 14:43:28 IST 2025","passed","Fri Sep 19 14:43:28 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test 22: Tooltip data validation against financials","202","test_22_validate_tooltip_data_against_financials","tests","Fri Sep 19 14:43:15 IST 2025","passed","Fri Sep 19 14:43:16 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test 15: Optimized sales validation workflow","206","test_15_demo_optimized_sales_validation_workflow","tests","Fri Sep 19 14:43:14 IST 2025","passed","Fri Sep 19 14:43:14 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test 26: Extract FNI PVR suggested radius from portfolio table","202","test_26_extract_fni_pvr_suggested_radius_from_portfolio_table","tests","Fri Sep 19 14:43:16 IST 2025","passed","Fri Sep 19 14:43:16 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test vehicle type filters on financials page","304","test_20_test_vehicle_type_filters_financials_page","tests","Fri Sep 19 14:43:33 IST 2025","passed","Fri Sep 19 14:43:33 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test 20: Sales MO elements with table scrolling","202","test_20_validate_sales_mo_elements_with_table_scrolling","tests","Fri Sep 19 14:43:15 IST 2025","passed","Fri Sep 19 14:43:15 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test clicking new portfolio button and navigating to builder","306","test_02_click_new_portfolio_button_navigate_to_builder","tests","Fri Sep 19 14:43:10 IST 2025","passed","Fri Sep 19 14:43:11 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test comparing FI PVR values between radius and performance pages","306","test_19_compare_fi_pvr_values_radius_performance_pages","tests","Fri Sep 19 14:43:32 IST 2025","passed","Fri Sep 19 14:43:33 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test complete new valuation workflow step by step","306","test_06_complete_new_valuation_workflow_step_by_step","tests","Fri Sep 19 14:43:28 IST 2025","passed","Fri Sep 19 14:43:29 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test saving portfolio for Sunrise Chevrolet buyer opportunity","306","test_07_save_portfolio_sunrise_chevrolet_buyer_opportunity","tests","Fri Sep 19 14:43:12 IST 2025","passed","Fri Sep 19 14:43:12 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test validation of navigation menu","650","test_04_validate_navigation_menu","tests","Fri Sep 19 14:42:26 IST 2025","passed","Fri Sep 19 14:42:27 IST 2025","TestHomeOptimized","test_home","",""
"Test 16: Portfolio new value validation","204","test_16_validate_portfolio_new_value_against_financials","tests","Fri Sep 19 14:43:14 IST 2025","passed","Fri Sep 19 14:43:14 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test navigation to portfolio page via home page card 3","306","test_01_navigate_to_portfolio_via_home_page_card_3","tests","Fri Sep 19 14:43:10 IST 2025","passed","Fri Sep 19 14:43:10 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test clearing the login form fields","505","test_07_clear_login_form","tests","Fri Sep 19 14:42:41 IST 2025","passed","Fri Sep 19 14:42:41 IST 2025","TestLoginOptimized","test_login","",""
"Test resend OTP functionality","556","test_05_resend_otp_functionality","tests","Fri Sep 19 14:42:56 IST 2025","passed","Fri Sep 19 14:42:56 IST 2025","TestOTPOptimized","test_otp","",""
"Test navigation to valuations page from home","301","test_01_navigate_to_valuations_page_from_home","tests","Fri Sep 19 14:43:27 IST 2025","passed","Fri Sep 19 14:43:27 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test clicking rooftop Sunrise Chevrolet and handling popup","306","test_05_click_rooftop_sunrise_chevrolet_handle_popup","tests","Fri Sep 19 14:43:11 IST 2025","passed","Fri Sep 19 14:43:12 IST 2025","TestPortfolioOptimized","test_portfolio","",""
"Test sign-in button states and validation","505","test_09_sign_in_button_state_validation","tests","Fri Sep 19 14:42:42 IST 2025","passed","Fri Sep 19 14:42:42 IST 2025","TestLoginOptimized","test_login","",""
"Test clicking TTM and analyzing 12 month revenue trends","306","test_18_click_ttm_analyze_12_month_revenue_trends","tests","Fri Sep 19 14:43:32 IST 2025","passed","Fri Sep 19 14:43:32 IST 2025","TestValuationsOptimized","test_valuations","",""
"Test 'Need Help?' button functionality","506","test_11_need_help_button_functionality","tests","Fri Sep 19 14:42:43 IST 2025","passed","Fri Sep 19 14:42:43 IST 2025","TestLoginOptimized","test_login","",""
"Test OTP field validation","416","test_04_otp_field_validation","tests","Fri Sep 19 14:42:55 IST 2025","passed","Fri Sep 19 14:42:56 IST 2025","TestOTPOptimized","test_otp","",""
"Test login attempt with empty email field","506","test_03_attempt_login_with_empty_email","tests","Fri Sep 19 14:42:39 IST 2025","passed","Fri Sep 19 14:42:39 IST 2025","TestLoginOptimized","test_login","",""
